,stock,date,time,heading,compound score
22,APTV,2021-01-21,09:03AM  ,"eXp World Holdings, Aramark, ABM Industries, Aptiv and ManpowerGroup highlighted as Zacks Bull and Bear of the Day",0.0
23,APTV,2021-01-20,11:42PM  ,Here's Why I Think Aptiv (NYSE:APTV) Is An Interesting Stock,0.4019
24,APTV,2021-01-20,08:01AM  ,3 Buy-Rated Business Service Stocks to Watch Ahead of Q4 Earnings,0.0
25,APTV,2021-01-14,10:11AM  ,Aptiv (APTV) Rolls Out Its Next-Generation ADAS Platform,0.0
26,APTV,2021-01-13,09:10AM  ,Aptiv to Release Fourth Quarter 2020 Financial Results and 2021 Outlook,0.0
27,APTV,2021-01-12,04:45AM  ,Missing Chips Snarl Car Production at Factories Worldwide,-0.296
28,APTV,2021-01-11,01:00PM  ,Intels Mobileye Plans Self-Driving Cars for the Masses by 2025,0.0
29,APTV,2021-01-11,08:00AM  ,Aptiv unveils new self-driving platform with wireless upgrades,0.0
30,APTV,2021-01-11,08:00AM  ,Aptiv Leverages Unique Brain and Nervous System Portfolio to Optimize Vehicle Architecture with New Zone Controllers,0.2732
31,APTV,2021-01-11,08:00AM  ,Aptiv Introduces Next-Gen ADAS Platform for Highly Automated and Electrified Vehicles,0.0
32,APTV,2021-01-04,10:22AM  ,Aptiv (APTV) Hits 52-Week High: What's Driving the Stock?,0.0
33,APTV,2020-12-26,02:18PM  ,Is APTV A Good Stock To Buy According To Hedge Funds?,0.4404
34,APTV,2020-12-16,09:23AM  ,Motional and Lyft target 2023 to deploy driverless robotaxi services in major US cities,0.0
35,APTV,2020-12-16,09:00AM  ,Lyft Wants People to Be Hailing Fully Driverless Cars on Its App by 2023,0.0
36,APTV,2020-12-16,08:00AM  ,How a Winning Global Fund Finds Stocks With Curb Appeal,0.5267
37,APTV,2020-12-15,09:51AM  ,15 Stocks to Buy as the ESG Investing Boom Continues Into 2021,0.0
38,APTV,2020-12-15,06:01AM  ,Walmart Is Expanding Its Self-Driving Technology. Why Thats Good for the Stock.,0.4404
39,APTV,2020-12-06,11:50PM  ,Aptiv PLC's (NYSE:APTV) Stock Is Going Strong: Is the Market Following Fundamentals?,0.5106
40,APTV,2020-11-17,12:18PM  ,Motional gets approval to test fully driverless vehicles in Nevada,0.4767
41,APTV,2020-11-13,04:50PM  ,Aptiv to Present at the Barclays Global Automotive Conference,0.0
42,APTV,2020-11-07,12:43PM  ,How to Position Your Investment Portfolio for Transition Uncertainty and Gridlock in Government,-0.34
43,APTV,2020-11-06,04:30PM  ,Aptiv to Present at the Baird Global Industrials Conference,0.0
44,APTV,2020-11-06,10:11AM  ,7 Autonomous Vehicle Stocks to Buy As Transpiration Enters a New Era,0.0
45,APTV,2020-11-05,04:30PM  ,Aptiv to Present at the Deutsche Bank Access AutoTech Day,0.0
46,APTV,2020-11-05,09:35AM  ,"Zacks Industry Outlook Highlights: Thomson Reuters, IQVIA Holdings and Aptiv",0.0
47,APTV,2020-11-02,12:17PM  ,Is a Beat in the Cards for Verisk (VRSK) in Q3 Earnings?,0.0
48,APTV,2020-11-01,07:21AM  ,Results: Aptiv PLC Exceeded Expectations And The Consensus Has Updated Its Estimates,0.0
49,APTV,2020-10-29,01:07PM  ,Aptiv (APTV) Surpasses Q3 Earnings and Revenue Estimates,0.0
50,APTV,2020-10-29,09:56AM  ,Aptiv's (APTV) Beats on Q3 Earnings and Revenues,0.0
51,APTV,2020-10-29,07:45AM  ,Recap: Aptiv Q3 Earnings,0.0
52,APTV,2020-10-29,06:45AM  ,Aptiv Reports Third Quarter 2020 Financial Results,0.0
53,APTV,2020-10-29,06:00AM  ,Aptiv Plc to Host Earnings Call,0.0
54,APTV,2020-10-28,09:38AM  ,"Tempur Sealy, Wynn Resorts, Spotify, Aptiv and Republic Services highlighted as Zacks Bull and Bear of the Day",0.0
55,APTV,2020-10-28,08:46AM  ,Is a Surprise Coming for Aptiv (APTV) This Earnings Season?,0.2732
56,APTV,2020-10-27,10:35PM  ,Were Hedge Funds Right About Piling Into Aptiv PLC (APTV)?,0.0
57,APTV,2020-10-27,11:37AM  ,Aptiv's (APTV) to Report Q3 Earnings: What's in the Offing?,0.0
58,APTV,2020-10-26,09:30AM  ,What Awaits Automatic Data Processing (ADP) in Q1 Earnings?,0.0772
59,APTV,2020-10-20,01:34PM  ,Robert Half (RHI) to Post Q3 Earnings: What's in the Offing?,0.0
60,APTV,2020-10-19,10:55AM  ,Is a Beat in the Cards for Interpublic (IPG) in Q3 Earnings?,0.0
61,APTV,2020-10-07,04:30PM  ,Aptiv to Release Third Quarter 2020 Financial Results,0.0
62,APTV,2020-10-01,04:21PM  ,Aptiv Corporation -- Moody's announces completion of a periodic review of ratings of Aptiv Plc,0.0
63,APTV,2020-09-29,06:37AM  ,What We Learned About Aptiv's (NYSE:APTV) CEO Compensation,0.0
64,APTV,2020-09-24,01:38PM  ,Here are two stocks that stand to benefit from Californias electric-vehicle push,0.4588
65,APTV,2020-09-23,12:27PM  ,Morgan Stanley Picks 2 Stocks to Buy (and 1 to Avoid),0.0
66,APTV,2020-09-21,08:45AM  ,Aptiv (APTV) Catches Eye: Stock Jumps 6.8%,0.0
67,APTV,2020-09-18,08:38AM  ,"Aptivs Price Target Raised to $150 with Overweight Rating, $225 in Best Case: Morgan Stanley",0.4019
68,APTV,2020-09-17,04:55PM  ,Aptiv to Present at the Evercore ISI Virtual New Mobility & AI Forum,0.0
69,APTV,2020-09-08,07:03PM  ,Analyst Report: Aptiv PLC,0.0
70,APTV,2020-09-07,12:52PM  ,Hedge Funds Dipping Their Toes Back Into Aptiv PLC (APTV),0.0
71,APTV,2020-09-02,06:53PM  ,Analyst Report: Aptiv PLC,0.0
72,APTV,2020-08-31,04:30PM  ,Aptiv to Present at Citi's 2020 Global Technology Conference,0.0
73,APTV,2020-08-30,09:53AM  ,Shareholders Of Aptiv (NYSE:APTV) Must Be Happy With Their 54% Return,0.5719
74,APTV,2020-08-25,01:54PM  ,Top Consumer Discretionary Stocks for September 2020,0.2023
75,APTV,2020-08-18,05:47PM  ,Aptiv Declares Quarterly Preferred Share Dividend,0.296
76,APTV,2020-08-11,02:00PM  ,"Hyundai Motor Group, Aptiv launch autonomous vehicle brand 'Motional'",0.0
77,APTV,2020-08-11,08:00AM  ,Introducing Motional: The Hyundai Motor Group and Aptiv Autonomous Driving Joint Venture Unveils New Identity,0.0
78,APTV,2020-07-31,08:54AM  ,Is Aptiv PLC (NYSE:APTV) Expensive For A Reason? A Look At Its Intrinsic Value,0.34
79,APTV,2020-07-31,02:18AM  ,Return On Capital Employed Overview: Aptiv,0.0
80,APTV,2020-07-30,05:30PM  ,Aptiv PLC (APTV) Q2 2020 Earnings Call Transcript,0.0
81,APTV,2020-07-30,10:22AM  ,"Aptiv (APTV) Incurs Q2 Loss Amid Coronavirus Crisis, Cancels View",-0.8074
82,APTV,2020-07-30,09:28AM  ,"Aptiv's (APTV) Reports Q2 Loss, Revenues Miss Estimates",-0.4404
83,APTV,2020-07-30,06:45AM  ,Aptiv Reports Second Quarter 2020 Financial Results,0.0
84,APTV,2020-07-29,08:31AM  ,Why Earnings Season Could Be Great for Aptiv (APTV),0.6249
85,APTV,2020-07-28,12:51PM  ,Coronavirus Crisis to Hurt Aptiv's (APTV) Q2 Earnings & Revenues,-0.8176
86,APTV,2020-07-27,05:30PM  ,Aptiv to Present at the 2020 Jefferies Global Industrials Conference,0.0
87,APTV,2020-07-14,08:19AM  ,12 Stocks That Could Take OffIf Youre Willing to Bet Everyone Else Is Wrong,-0.4767
88,APTV,2020-07-10,04:19PM  ,These Hedge Funds Dropped The Ball On Aptiv PLC (APTV),0.0
89,APTV,2020-07-08,04:00PM  ,Aptiv to Release Second Quarter 2020 Financial Results,0.0
90,APTV,2020-06-19,01:04PM  ,"CarMax Earnings Take a Beating From Coronavirus, Sending Shares Lower",-0.4588
91,APTV,2020-06-16,08:43AM  ,Richard Clemmer Joins Aptiv Board of Directors,0.0
92,APTV,2020-06-11,12:34PM  ,Thursday Morning Market Highlights,0.0
93,APTV,2020-06-11,08:45AM  ,Aptiv (APTV) Catches Eye: Stock Jumps 8.6%,0.0
94,APTV,2020-06-10,09:57AM  ,"Aptiv Corporation -- Moody's confirms Aptiv's ratings at Baa2, outlook stable",0.296
95,APTV,2020-06-10,09:28AM  ,Aptiv to Present at the Deutsche Bank Global Auto Industry Conference,0.0
96,APTV,2020-06-09,10:38PM  ,Aptiv PLC Announces Pricing of Ordinary Shares and Mandatory Convertible Preferred Shares Offerings,0.5719
97,APTV,2020-06-08,04:13PM  ,Aptiv PLC Announces Proposed Offerings of Ordinary Shares and Mandatory Convertible Preferred Shares,0.5719
98,APTV,2020-06-05,09:01PM  ,Signs of Green Shoots Appear in a Battered Car Industry. Everything Is Relative.,0.0
99,APTV,2020-06-03,06:37AM  ,Aptiv Hit by Coronavirus-Led Weak Global Vehicle Production,-0.4404
